(0.166, -0.931, 0.081),
(0.164, -0.938, 0.086),
(0.162, -0.933, 0.089),
(0.163, -0.932, 0.087),
(0.158, -0.935, 0.083),
(0.164, -0.935, 0.085),
(0.167, -0.935, 0.086),
(0.170, -0.936, 0.086),
(0.167, -0.936, 0.090),
(0.166, -0.936, 0.087),
(0.168, -0.938, 0.085),
(0.167, -0.940, 0.087),
(0.168, -0.940, 0.085),
(0.167, -0.940, 0.084),
(0.165, -0.939, 0.087),
(0.167, -0.943, 0.091),
(0.169, -0.945, 0.093),
(0.169, -0.949, 0.090),
(0.168, -0.950, 0.092),
(0.167, -0.948, 0.093),
(0.167, -0.947, 0.086),
(0.167, -0.942, 0.083),
(0.169, -0.940, 0.082),
(0.168, -0.941, 0.082),
(0.165, -0.938, 0.082),
(0.163, -0.939, 0.086),
(0.163, -0.940, 0.088),
(0.166, -0.945, 0.086),
(0.165, -0.946, 0.082),
(0.164, -0.945, 0.080),
(0.160, -0.943, 0.079),
(0.161, -0.942, 0.080),
(0.161, -0.940, 0.081),
(0.161, -0.938, 0.080),
(0.166, -0.936, 0.078),
(0.163, -0.936, 0.072),
(0.159, -0.938, 0.071),
(0.159, -0.937, 0.069),
(0.158, -0.930, 0.068),
(0.160, -0.929, 0.066),
(0.157, -0.929, 0.067),
(0.157, -0.934, 0.064),
(0.161, -0.940, 0.068),
(0.163, -0.943, 0.072),
(0.164, -0.945, 0.072),
(0.165, -0.948, 0.071),
(0.166, -0.945, 0.062),
(0.170, -0.948, 0.057),
(0.173, -0.947, 0.055),
(0.175, -0.946, 0.055),
(0.174, -0.945, 0.054),
(0.169, -0.942, 0.057),
(0.168, -0.941, 0.062),
(0.169, -0.941, 0.067),
(0.170, -0.940, 0.076),
(0.169, -0.940, 0.074),
(0.167, -0.938, 0.071),
(0.163, -0.937, 0.073),
(0.160, -0.935, 0.076),
(0.162, -0.936, 0.077),
(0.161, -0.938, 0.082),
(0.156, -0.941, 0.087),
(0.158, -0.946, 0.083),
(0.164, -0.949, 0.083),
(0.168, -0.945, 0.078),
(0.170, -0.945, 0.081),
(0.165, -0.946, 0.079),
(0.165, -0.947, 0.079),
(0.163, -0.946, 0.083),
(0.164, -0.947, 0.087),
(0.162, -0.944, 0.089),
(0.164, -0.944, 0.088),
(0.163, -0.946, 0.088),
(0.165, -0.945, 0.087),
(0.169, -0.947, 0.086),
(0.167, -0.947, 0.086),
(0.167, -0.947, 0.084),
(0.166, -0.944, 0.091),
(0.167, -0.944, 0.090),
(0.167, -0.942, 0.091),
(0.165, -0.939, 0.084),
(0.162, -0.938, 0.084),
(0.162, -0.935, 0.086),
(0.160, -0.935, 0.087),
(0.159, -0.941, 0.089),
(0.165, -0.944, 0.083),
